id_caso,código_dane_de_municipio,municipio,departamento,año,mes,día,id_persona,sexo,etnia,ocupación,caletera,campanera,cocinera,comandante,combatiente,contabilidad,entrenamiento,escolta,extorsiones,fabricación_de_otras_armas_no_convencionales,fabricación_y/o_siembra_de_minas_antipersonal,guardia,informante,patrullera,radio_operaciones,raspachín,servicios_de_salud,sicariato,trabajo_organizativo,tráfico_de_estupefacientes,transporte_de_armas,sin_información_de_oficios_realizados,otro_oficio_realizado,edad,latitud,longitud,fecha
314478,05837,TURBO,ANTIOQUIA,2001,1,16,355910,HOMBRE,,SIN INFORMACIÓN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,ADOLESCENCIA (12-17 AÑOS),8.173851745,-76.574037701,2001-01-16
314479,05490,NECOCLI,ANTIOQUIA,2001,1,18,355911,MUJER,,SIN INFORMACIÓN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,INFANCIA (6-11 AÑOS),8.3280992334,-76.7470819826,2001-01-18
314480,05837,TURBO,ANTIOQUIA,2004,10,0,355912,HOMBRE,,SIN INFORMACIÓN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,ADOLESCENCIA (12-17 AÑOS),8.173851745,-76.574037701,2004-10-01
314481,05837,TURBO,ANTIOQUIA,2001,8,30,355913,HOMBRE,,SIN INFORMACIÓN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,ADOLESCENCIA (12-17 AÑOS),8.173851745,-76.574037701,2001-08-30
314482,05837,TURBO,ANTIOQUIA,2001,10,17,355914,HOMBRE,,SIN INFORMACIÓN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,ADOLESCENCIA (12-17 AÑOS),8.173851745,-76.574037701,2001-10-17
314483,00000,SIN INFORMACION,SIN INFORMACION,2002,4,0,355915,HOMBRE,,SIN INFORMACIÓN,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,ADOLESCENCIA (12-17 AÑOS),4.0,-72.0,2002-04-01
314484,05837,TURBO,ANTIOQUIA,2002,4,0,355916,HOMBRE,"NEGRO(A), MULATO(A), AFRODESCENDIENTE, AFROCOLOMBIANO(A)",SIN INFORMACIÓN,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,ADOLESCENCIA (12-17 AÑOS),8.173851745,-76.574037701,2002-04-01
314485,05837,TURBO,ANTIOQUIA,2002,12,19,355917,HOMBRE,,SIN INFORMACIÓN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,ADOLESCENCIA (12-17 AÑOS),8.173851745,-76.574037701,2002-12-19
314486,05837,TURBO,ANTIOQUIA,2003,1,9,355918,HOMBRE,,SIN INFORMACIÓN,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,ADOLESCENCIA (12-17 AÑOS),8.173851745,-76.574037701,2003-01-09
314489,05837,TURBO,ANTIOQUIA,2003,11,15,355921,HOMBRE,,SIN INFORMACIÓN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,ADOLESCENCIA (12-17 AÑOS),8.173851745,-76.574037701,2003-11-15
314490,05837,TURBO,ANTIOQUIA,2003,12,6,355922,HOMBRE,,SIN INFORMACIÓN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,ADOLESCENCIA (12-17 AÑOS),8.173851745,-76.574037701,2003-12-06
314492,05837,TURBO,ANTIOQUIA,2004,12,1,355924,HOMBRE,,SIN INFORMACIÓN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,ADOLESCENCIA (12-17 AÑOS),8.173851745,-76.574037701,2004-12-01
314493,05837,TURBO,ANTIOQUIA,2004,12,3,355925,HOMBRE,"NEGRO(A), MULATO(A), AFRODESCENDIENTE, AFROCOLOMBIANO(A)",SIN INFORMACIÓN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,ADOLESCENCIA (12-17 AÑOS),7.9343214681,-76.7164471068,2004-12-03
314495,05837,TURBO,ANTIOQUIA,2005,8,27,355927,HOMBRE,,SIN INFORMACIÓN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,ADOLESCENCIA (12-17 AÑOS),8.173851745,-76.574037701,2005-08-27
314496,05490,NECOCLI,ANTIOQUIA,2002,8,0,355928,HOMBRE,,SIN INFORMACIÓN,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,ADOLESCENCIA (12-17 AÑOS),8.3280992334,-76.7470819826,2002-08-01
314497,05837,TURBO,ANTIOQUIA,2007,2,1,355929,HOMBRE,,SIN INFORMACIÓN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,ADOLESCENCIA (12-17 AÑOS),8.173851745,-76.574037701,2007-02-01
314498,05837,TURBO,ANTIOQUIA,2008,1,20,355930,HOMBRE,"NEGRO(A), MULATO(A), AFRODESCENDIENTE, AFROCOLOMBIANO(A)",SIN INFORMACIÓN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,ADOLESCENCIA (12-17 AÑOS),8.173851745,-76.574037701,2008-01-20
314499,05837,TURBO,ANTIOQUIA,2003,2,20,355931,MUJER,,SIN INFORMACIÓN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,ADOLESCENCIA (12-17 AÑOS),8.173851745,-76.574037701,2003-02-20
314502,27615,RIOSUCIO,CHOCO,1999,9,0,355934,HOMBRE,"NEGRO(A), MULATO(A), AFRODESCENDIENTE, AFROCOLOMBIANO(A)",SIN INFORMACIÓN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,ADOLESCENCIA (12-17 AÑOS),7.375606,-77.35636,1999-09-01
314532,05837,TURBO,ANTIOQUIA,2002,2,28,355964,HOMBRE,"NEGRO(A), MULATO(A), AFRODESCENDIENTE, AFROCOLOMBIANO(A)",SIN INFORMACIÓN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,ADOLESCENCIA (12-17 AÑOS),8.173851745,-76.574037701,2002-02-28
314535,05837,TURBO,ANTIOQUIA,2000,10,1,355967,HOMBRE,,SIN INFORMACIÓN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,ADOLESCENCIA (12-17 AÑOS),8.173851745,-76.574037701,2000-10-01
314569,05819,TOLEDO,ANTIOQUIA,2010,2,17,356001,HOMBRE,,SIN INFORMACIÓN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,ADOLESCENCIA (12-17 AÑOS),7.016397069,-75.71363382,2010-02-17
314577,05790,TARAZA,ANTIOQUIA,2003,6,13,356009,HOMBRE,,SIN INFORMACIÓN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,ADOLESCENCIA (12-17 AÑOS),7.488875998,-75.401894377,2003-06-13
314578,05790,TARAZA,ANTIOQUIA,2004,5,1,356010,HOMBRE,,SIN INFORMACIÓN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,ADOLESCENCIA (12-17 AÑOS),7.488875998,-75.401894377,2004-05-01
314579,05790,TARAZA,ANTIOQUIA,2004,6,8,356011,HOMBRE,,SIN INFORMACIÓN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,ADOLESCENCIA (12-17 AÑOS),7.488875998,-75.401894377,2004-06-08
